bank_transaction_id,bank_operation_date,bank_amount,bank_ref,bank_payment_class,bank_label,customer_transaction_id,customer_accounting_date,customer_amount,customer_document_number,customer_external_doc_number,customer_payment_type,customer_description,score
75847,2025-04-03,-33100.0,10155346712,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 310325 LCN 10155346712,9674,2025-04-03,-33100.0,BVC250000429,10155346809,CLT EFFET,Valider Impayé via escompte,100.0
75850,2025-04-03,-40000.0,9958190138,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 310325 LCN 9958190138,9663,2025-04-03,15563.0,BEB24000193,9914964901,CLT EFFET,Validation Effet escompté en Banque,35.0
75853,2025-04-03,-10000.0,10287817866,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 300325 LCN 10287817866,9679,2025-04-03,-10000.0,BVC250000571,10287817866,CLT EFFET,Valider Impayé via escompte,100.0
75857,2025-04-03,369567.861,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:1,9674,2025-04-03,-33100.0,BVC250000429,10155346809,CLT EFFET,Valider Impayé via escompte,25.0
75869,2025-04-07,-6579.944,10109474927,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 040425 LCN 10109474927,9685,2025-04-07,24818.361,BEB24000205,9914971982,CLT EFFET,Validation Effet escompté en Banque,33.82352941176471
75876,2025-04-08,-37882.894,10601126508,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 210325 LCN 10601126508,9433,2025-02-25,37882.894,BEB24000151,10601126508,CLT EFFET,Validation Effet escompté en Banque,75.0
75879,2025-04-08,-69895.08,10155432945,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 050425 LCN 10155432945,9374,2025-02-17,69895.08,BEB24000120,10155432945,CLT EFFET,Validation Effet escompté en Banque,75.0
75884,2025-04-10,477220.288,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:3,9700,2025-04-10,7800.715,BEB24000206,9914969945,CLT EFFET,Validation Effet escompté en Banque,25.0
75894,2025-04-11,-87672.201,10155409180,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 100425 LCN 10155409180,9131,2025-01-13,87672.201,BEB24000096,10155409180,CLT EFFET,Validation Effet escompté en Banque,75.0
75936,2025-04-16,7000.0,,CLT EFFET,PAYEMENT EFFET/ENCAISSEMENT LCN 010309251665,9132,2025-01-13,7000.0,BEB24000096,10309251665,CLT EFFET,Validation Effet escompté en Banque,60.0
75940,2025-04-16,-39986.598,9914955977,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 150425 LCN 9914955977,9759,2025-04-14,4500.0,BEB24000207,10309291435,CLT EFFET,Validation Effet escompté en Banque,31.323529411764707
75946,2025-04-16,-29415.804,9914984883,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 150425 LCN 9914984883,9759,2025-04-14,4500.0,BEB24000207,10309291435,CLT EFFET,Validation Effet escompté en Banque,31.323529411764707
75957,2025-04-21,35283.235,,CLT EFFET,PAYEMENT EFFET/ENCAISSEMENT LCN 010155440802,9789,2025-04-21,35283.235,BEB24000211,10155440802,CLT EFFET,Validation Effet escompté en Banque,85.0
75958,2025-04-21,248008.293,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:1,9789,2025-04-21,35283.235,BEB24000211,10155440802,CLT EFFET,Validation Effet escompté en Banque,25.0
75982,2025-04-22,-37236.892,10109472502,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 200425 LCN 10109472502,9780,2025-04-21,16857.185,BEB24000210,10109423129,CLT EFFET,Validation Effet escompté en Banque,35.41666666666667
75985,2025-04-22,-7000.0,10309251859,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 200425 LCN 10309251859,9862,2025-04-30,7000.0,BEB24000221,10396930935,CLT EFFET,Validation Effet escompté en Banque,85.0
75988,2025-04-22,-14157.942,10031588874,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 200425 LCN 10031588874,9780,2025-04-21,16857.185,BEB24000210,10109423129,CLT EFFET,Validation Effet escompté en Banque,33.125
75994,2025-04-25,113710.578,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:2,9803,2025-04-25,13835.042,BEB24000215,10396924145,CLT EFFET,Validation Effet escompté en Banque,25.0
76009,2025-04-28,-23283.343,10287818060,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 250425 LCN 10287818060,9814,2025-04-28,-23283.343,BVC250000573,10287818060,CLT EFFET,Valider Impayé via escompte,100.0
76011,2025-04-28,11308.708,009914970721,CLT EFFET,PAYEMENT EFFET/ENCAISSEMENT LCN 009914970721,9812,2025-04-28,11308.708,BEB24000214,9914970721,CLT EFFET,Validation Effet escompté en Banque,100.0
76031,2025-04-29,-9177.221,10109466779,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 260425 LCN 10109466779,9823,2025-04-29,8329.758,BEB24000218,101245365,CLT EFFET,Validation Effet escompté en Banque,34.375
76033,2025-04-30,95847.659,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:2,9847,2025-04-30,1070.0,BEB24000221,10396929771,CLT EFFET,Validation Effet escompté en Banque,25.0
76042,2025-05-02,346674.32,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:2,9873,2025-05-02,42523.187,EES250000201,10396979629,CLT EFFET,Validation Effet encaissé en Banque,25.0
